customer_id,email,country_code,currency,consent_level,created_at,is_active
CUST-000001,customer_1@example.com,PT,EUR,minimal,2025-12-16T13:15:42.134231,True
CUST-000002,customer_2@example.com,GB,GBP,full,2025-06-05T19:37:50.989828,True
CUST-000003,customer_3@example.com,FR,EUR,minimal,2025-05-19T08:35:44.850349,True
CUST-000004,customer_4@example.com,SE,SEK,full,2025-09-27T11:27:02.739413,True
CUST-000005,customer_5@example.com,FR,EUR,full,2026-03-21T12:08:26.113810,True
CUST-000006,customer_6@example.com,PL,PLN,full,2025-11-02T19:46:35.584648,True
CUST-000007,customer_7@example.com,DE,EUR,analytics_only,2026-03-02T01:55:17.162799,True
CUST-000008,customer_8@example.com,DE,EUR,full,2025-11-19T12:16:57.448056,True
CUST-000009,customer_9@example.com,DE,EUR,full,2026-06-11T03:21:02.306937,True
CUST-000010,customer_10@example.com,PT,EUR,analytics_only,2025-05-26T00:37:33.023331,True
CUST-000011,customer_11@example.com,PT,EUR,analytics_only,2025-03-27T18:43:01.049909,True
CUST-000012,customer_12@example.com,DE,EUR,analytics_only,2025-01-18T21:16:45.760692,True
CUST-000013,customer_13@example.com,DE,EUR,minimal,2025-02-09T00:09:22.339939,True
CUST-000014,customer_14@example.com,PT,EUR,minimal,2025-11-20T04:54:45.638019,True
CUST-000015,customer_15@example.com,GB,GBP,full,2025-05-04T04:41:38.003635,True
CUST-000016,customer_16@example.com,PT,EUR,full,2025-02-02T16:21:34.184470,True
CUST-000017,customer_17@example.com,GB,GBP,minimal,2026-05-20T19:31:26.907537,True
CUST-000018,customer_18@example.com,DE,EUR,full,2025-08-09T13:47:31.358505,True
CUST-000019,customer_19@example.com,DE,EUR,analytics_only,2025-11-24T17:22:41.444993,True
CUST-000020,customer_20@example.com,SE,SEK,analytics_only,2025-01-15T04:10:30.232889,True
CUST-000021,customer_21@example.com,PT,EUR,minimal,2025-11-18T17:50:26.872249,True
CUST-000022,customer_22@example.com,PT,EUR,minimal,2025-11-12T18:48:01.229383,True
CUST-000023,customer_23@example.com,GB,GBP,analytics_only,2025-08-31T08:12:04.056964,True
CUST-000024,customer_24@example.com,DE,EUR,analytics_only,2026-03-23T04:56:58.238153,True
CUST-000025,customer_25@example.com,PL,PLN,full,2025-06-25T22:33:29.456427,True
CUST-000026,customer_26@example.com,PT,EUR,full,2025-09-29T12:24:30.829403,True
CUST-000027,customer_27@example.com,NL,EUR,minimal,2025-01-21T02:38:26.368389,True
CUST-000028,customer_28@example.com,PT,EUR,full,2026-02-28T08:33:01.163792,True
CUST-000029,customer_29@example.com,SE,SEK,full,2026-04-22T09:55:16.153627,True
CUST-000030,customer_30@example.com,FR,EUR,analytics_only,2025-12-08T04:52:50.492848,True
CUST-000031,customer_31@example.com,FR,EUR,full,2025-05-27T08:19:25.124756,True
CUST-000032,customer_32@example.com,PT,EUR,minimal,2025-09-23T14:55:46.392551,True
CUST-000033,customer_33@example.com,PT,EUR,minimal,2026-01-24T23:03:49.376587,True
CUST-000034,,DE,EUR,full,2025-05-04T03:15:47.063385,True
CUST-000035,customer_35@example.com,GB,GBP,minimal,2025-12-21T22:40:40.176782,True
CUST-000036,customer_36@example.com,PT,EUR,full,2026-01-22T13:34:25.524425,True
CUST-000037,customer_37@example.com,DE,EUR,analytics_only,2025-09-08T07:39:20.481751,True
CUST-000038,customer_38@example.com,PT,EUR,analytics_only,2026-02-13T23:14:22.409938,True
CUST-000039,customer_39@example.com,PT,EUR,minimal,2026-04-14T05:13:53.837020,True
CUST-000040,customer_40@example.com,DE,EUR,full,2025-01-02T09:44:17.847902,True
CUST-000041,customer_41@example.com,NL,EUR,analytics_only,2025-12-28T15:32:26.823042,True
CUST-000042,customer_42@example.com,SE,SEK,analytics_only,2025-07-02T04:15:01.071028,True
CUST-000043,customer_43@example.com,GB,GBP,minimal,2026-04-22T13:00:04.816420,True
CUST-000044,customer_44@example.com,PL,PLN,full,2026-04-15T02:16:57.576670,True
